Variation;Size;Date;Color;Location;Photo;Extension
1;35 x 28;1974;Noir;P;DHM1;.HEIC
2;;;;;DHM2;.HEIC
3;54 x 73;1974/75;Bordeau;P;DHM3;.HEIC
4;;;;;DHM4;.HEIC
5;60 x 81;1974/77;Bleu;P;DHM5;.HEIC
6;;;;;DHM6;.HEIC
7;65x 65;1974/75;Bleu ciel;P;DHM7;.HEIC
8;;;;;DHM8;.HEIC
9;;;;;DHM9;.HEIC
10;27 x 36;1975;Bleu ciel;P;DHM10;.HEIC
11;22 x 27;1975;Bleu ciel;B;DHM11;.HEIC
12;;;;;DHM12;.HEIC
13;;;;;DHM13;.HEIC
14;54 x 65;1975/77;Bleu marine;P;DHM14;.HEIC
15;;1975;;Letulle, Paris;DHM15;.HEIC
16;50 x 61;1974/77;Noir;P;DHM16;.HEIC
17;33 x 46;1975/79;Bleu;P;DHM17;.HEIC
18;;;;;DHM18;.HEIC
19;;;;;DHM19;.HEIC
20;;;;;DHM20;.HEIC
21;;;;;DHM21;.HEIC
22;60 x 60;;Gris;P;DHM22;.HEIC
23;54 x 73;1975/76;Rose;P;DHM23;.HEIC
24;38,5 x 55;1975/79;Kaki;B;DHM24;.HEIC
25;;;;;DHM25;.HEIC
26;;;;;DHM26;.HEIC
27;;;;;DHM27;.HEIC
28;;;;;DHM28;.HEIC
29;54 x 65;1975;Mauve;P;DHM29;.HEIC
30;46 x 55;;Gris mauve;P;DHM30;.HEIC
31;38 x 46 ;1975/80;Vert;BH Vendu;DHM31;.HEIC
32;38 x 46;1975;Gris;BH ? noter sur le consignment;DHM32;.HEIC
33;46 x 55;;Vert;BH Vendu;DHM33;.HEIC
34;70 x 70 ;1975/80;Gris;P;DHM34;.HEIC
35;;1975;;Marianne Hyafil, Paris (d?c?d?e ? Paris en 2022);DHM35;.HEIC
36;;1975/78;;FNAC;DHM36;.HEIC
37;60 x 73;1975/76;Gris;B;DHM37;.HEIC
38;;;;;DHM38;.HEIC
39;;;;;DHM39;.HEIC
40;;;;;DHM40;.HEIC
41;73 x 54;1975/80;Gris;P;DHM41;.HEIC
42;100 X 80;1975/76;Bleu;B;DHM42;.HEIC
43;;;;;DHM43;.HEIC
44;;;;;DHM44;.HEIC
45;;1975;;Cohen, Paris (?);DHM45;.HEIC
46;;;;;DHM46;.HEIC
47;;;;;DHM47;.HEIC
48;;;;;DHM48;.HEIC
49;46 x 38;1975/80;Gris;BH Vendu;DHM49;.HEIC
